District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
125,Sharon School District,2010-11,17,17.6,58.8,23.5
126,Shelton School District,2010-11,313,33.5,42.5,24
127,Sherman School District,2010-11,29,0,27.6,72.4
270,Side By Side Community School District,2010-11,20,5,45,50
128,Simsbury School District,2010-11,241,5.4,26.1,68.5
129,Somers School District,2010-11,100,5,25,70
132,South Windsor School District,2010-11,227,15,37,48
131,Southington School District,2010-11,478,13.2,69,17.8
133,Sprague School District,2010-11,40,37.5,42.5,20
134,Stafford School District,2010-11,124,2.4,36.3,61.3
135,Stamford School District,2010-11,1282,17,36.1,46.9
136,Sterling School District,2010-11,53,9.4,18.9,71.7
137,Stonington School District,2010-11,149,19.5,59.7,20.8
138,Stratford School District,2010-11,461,13,33,54
139,Suffield School District,2010-11,117,16.2,63.2,20.5
140,Thomaston School District,2010-11,70,10,32.9,57.1
141,Thompson School District,2010-11,87,13.8,43.7,42.5
142,Tolland School District,2010-11,191,14.7,40.3,45
143,Torrington School District,2010-11,393,26.2,41.7,32.1
144,Trumbull School District,2010-11,402,10,40,50
145,Union School District,2010-11,7,14.3,28.6,57.1
146,Vernon School District,2010-11,249,17.3,32.1,50.6
147,Voluntown School District,2010-11,32,0,15.6,84.4
148,Wallingford School District,2010-11,392,10.5,39.3,50.3
151,Waterbury School District,2010-11,1578,28.9,41.2,29.9
152,Waterford School District,2010-11,119,5.9,39.5,54.6
153,Watertown School District,2010-11,177,8.5,44.6,46.9
155,West Hartford School District,2010-11,695,13.4,44.6,42
156,West Haven School District,2010-11,505,29.5,49.3,21.2
154,Westbrook School District,2010-11,66,15.2,50,34.8
157,Weston School District,2010-11,22,0,9.1,90.9
158,Westport School District,2010-11,392,19.9,47.7,32.4
159,Wethersfield School District,2010-11,242,19.4,53.7,26.9
160,Willington School District,2010-11,33,6.1,27.3,66.7
161,Wilton School District,2010-11,286,1,20.3,78.7
162,Winchester School District,2010-11,19,31.6,57.9,10.5
163,Windham School District,2010-11,264,29.9,43.2,26.9
165,Windsor Locks School District,2010-11,136,27.9,46.3,25.7
164,Windsor School District,2010-11,194,25.8,33,41.2
166,Wolcott School District,2010-11,166,11.4,40.4,48.2
167,Woodbridge School District,2010-11,85,41.2,49.4,9.4
169,Woodstock School District,2010-11,96,7.3,15.6,77.1
,Statewide,2010-11,35603,18.28157178,40.06007921,41.67001095
