District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
52,Farmington School District,2009-10,278,6.8,24.8,68.3
53,Franklin School District,2009-10,17,11.8,47.1,41.2
54,Glastonbury School District,2009-10,425,8.7,51.1,40.2
56,Granby School District,2009-10,152,4.6,17.1,78.3
58,Griswold School District,2009-10,113,12.4,71.7,15.9
59,Groton School District,2009-10,468,26.3,53,20.7
60,Guilford School District,2009-10,247,4,25.1,70.9
62,Hamden School District,2009-10,426,20.2,49.1,30.8
63,Hampton School District,2009-10,15,46.7,33.3,20
64,Hartford School District,2009-10,1669,26.4,48.8,24.8
65,Hartland School District,2009-10,30,20,50,30
67,Hebron School District,2009-10,120,5.8,21.7,72.5
286,Highville Charter School District,2009-10,39,2.6,51.3,46.2
264,Integrated Day Charter School District,2009-10,32,21.9,28.1,50
261,Jumoke Academy District,2009-10,44,13.6,27.3,59.1
68,Kent School District,2009-10,36,13.9,25,61.1
69,Killingly School District,2009-10,192,20.3,54.7,25
245,Learn,2009-10,245,16.3,38,45.7
71,Lebanon School District,2009-10,78,14.1,46.2,39.7
72,Ledyard School District,2009-10,167,21.6,53.9,24.6
73,Lisbon School District,2009-10,41,9.8,24.4,65.9
74,Litchfield School District,2009-10,75,17.3,77.3,5.3
76,Madison School District,2009-10,168,1.2,44,54.8
77,Manchester School District,2009-10,550,24.7,52.7,22.5
78,Mansfield School District,2009-10,115,13.9,31.3,54.8
79,Marlborough School District,2009-10,81,3.7,35.8,60.5
80,Meriden School District,2009-10,640,30.9,43.1,25.9
84,Milford School District,2009-10,477,25.6,43.8,30.6
85,Monroe School District,2009-10,245,12.7,49.4,38
86,Montville School District,2009-10,162,8,33.3,58.6
88,Naugatuck School District,2009-10,339,15,53.1,31.9
280,"New Beginnings Inc., Family Academy District",2009-10,42,21.4,66.7,11.9
89,New Britain School District,2009-10,856,34.8,47.4,17.8
90,New Canaan School District,2009-10,258,15.5,50,34.5
91,New Fairfield School District,2009-10,188,4.3,28.2,67.6
92,New Hartford School District,2009-10,74,2.7,54.1,43.2
93,New Haven School District,2009-10,1542,24.6,48.5,26.8
95,New London School District,2009-10,192,29.7,50,20.3
96,New Milford School District,2009-10,323,15.8,34.7,49.5
94,Newington School District,2009-10,321,19,44.9,36.1
97,Newtown School District,2009-10,290,6.9,30,63.1
98,Norfolk School District,2009-10,13,23.1,76.9,0
99,North Branford School District,2009-10,131,13,25.2,61.8
100,North Canaan School District,2009-10,39,2.6,41,56.4
101,North Haven School District,2009-10,251,27.9,49,23.1
102,North Stonington School District,2009-10,66,19.7,57.6,22.7
103,Norwalk School District,2009-10,953,18.3,42,39.8
104,Norwich School District,2009-10,387,32.6,38.5,28.9
106,Old Saybrook School District,2009-10,102,6.9,32.4,60.8
107,Orange School District,2009-10,161,1.2,10.6,88.2
108,Oxford School District,2009-10,176,3.4,16.5,80.1
109,Plainfield School District,2009-10,181,34.8,47.5,17.7
110,Plainville School District,2009-10,167,23.4,54.5,22.2
111,Plymouth School District,2009-10,105,13.3,47.6,39
112,Pomfret School District,2009-10,44,9.1,27.3,63.6
113,Portland School District,2009-10,108,11.1,63.9,25
114,Preston School District,2009-10,36,5.6,33.3,61.1
116,Putnam School District,2009-10,105,28.6,35.2,36.2
117,Redding School District,2009-10,115,12.2,27.8,60
206,Regional School District 06,2009-10,66,12.1,71.2,16.7
210,Regional School District 10,2009-10,192,8.9,62.5,28.6
212,Regional School District 12,2009-10,48,2.1,14.6,83.3
213,Regional School District 13,2009-10,118,10.2,36.4,53.4
214,Regional School District 14,2009-10,108,5.6,34.3,60.2
215,Regional School District 15,2009-10,305,11.1,46.6,42.3
216,Regional School District 16,2009-10,199,17.6,51.3,31.2
217,Regional School District 17,2009-10,175,5.1,27.4,67.4
218,Regional School District 18,2009-10,113,8,37.2,54.9
118,Ridgefield School District,2009-10,272,12.9,39,48.2
119,Rocky Hill School District,2009-10,184,15.8,22.3,62
121,Salem School District,2009-10,30,13.3,36.7,50
122,Salisbury School District,2009-10,37,18.9,24.3,56.8
124,Seymour School District,2009-10,147,9.5,49,41.5
125,Sharon School District,2009-10,24,8.3,50,41.7
126,Shelton School District,2009-10,333,20.7,51.7,27.6
127,Sherman School District,2009-10,38,5.3,13.2,81.6
270,Side By Side Community School District,2009-10,22,9.1,45.5,45.5
128,Simsbury School District,2009-10,270,8.9,16.3,74.8
129,Somers School District,2009-10,85,3.5,16.5,80
132,South Windsor School District,2009-10,246,7.7,37.8,54.5
131,Southington School District,2009-10,467,18.2,56.1,25.7
133,Sprague School District,2009-10,33,3,63.6,33.3
134,Stafford School District,2009-10,111,15.3,40.5,44.1
135,Stamford School District,2009-10,1293,22.2,39.7,38.1
136,Sterling School District,2009-10,43,4.7,18.6,76.7
137,Stonington School District,2009-10,151,15.2,51,33.8
138,Stratford School District,2009-10,542,15.3,39.5,45.2
139,Suffield School District,2009-10,159,8.2,35.8,56
140,Thomaston School District,2009-10,66,27.3,45.5,27.3
141,Thompson School District,2009-10,95,18.9,49.5,31.6
142,Tolland School District,2009-10,201,9,47.8,43.3
143,Torrington School District,2009-10,401,29.7,35.2,35.2
144,Trumbull School District,2009-10,478,7.9,49.4,42.7
145,Union School District,2009-10,6,16.7,16.7,66.7
146,Vernon School District,2009-10,300,27.3,43.3,29.3
147,Voluntown School District,2009-10,31,12.9,6.5,80.6
148,Wallingford School District,2009-10,409,17.6,36.4,46
151,Waterbury School District,2009-10,1651,37.4,41.7,20.9
152,Waterford School District,2009-10,128,15.6,53.1,31.3
153,Watertown School District,2009-10,221,5.4,43.9,50.7
155,West Hartford School District,2009-10,791,10.7,45.6,43.6
156,West Haven School District,2009-10,556,24.6,40.8,34.5
154,Westbrook School District,2009-10,67,10.4,49.3,40.3
157,Weston School District,2009-10,158,10.1,74.1,15.8
158,Westport School District,2009-10,376,12.2,58,29.8
160,Willington School District,2009-10,52,9.6,23.1,67.3
161,Wilton School District,2009-10,271,4.8,22.1,73.1
162,Winchester School District,2009-10,84,45.2,46.4,8.3
163,Windham School District,2009-10,279,33,48.7,18.3
165,Windsor Locks School District,2009-10,124,19.4,41.9,38.7
164,Windsor School District,2009-10,172,13.4,31.4,55.2
166,Wolcott School District,2009-10,155,12.3,40.6,47.1
167,Woodbridge School District,2009-10,95,22.1,58.9,18.9
169,Woodstock School District,2009-10,88,54.5,35.2,10.2
,Statewide,2009-10,37907,19.47668768,42.88526394,37.63217875
