District ID,District Name,School Year,Number of Students Tested,Numeracy Skills (%) Level 1,Numeracy Skills (%) Level 2,Numeracy Skills (%) Level 3
078,Mansfield School District,2011-12,135,14.1,43,43
079,Marlborough School District,2011-12,91,8.8,25.3,65.9
080,Meriden School District,2011-12,651,29.5,33.2,37.3
083,Middletown School District,2011-12,419,22.4,41.8,35.8
084,Milford School District,2011-12,427,6.3,23.2,70.5
085,Monroe School District,2011-12,168,6.5,43.5,50
086,Montville School District,2011-12,136,14.7,25.7,59.6
088,Naugatuck School District,2011-12,356,22.8,45.8,31.5
280,"New Beginnings Inc., Family Academy District",2011-12,43,20.9,46.5,32.6
089,New Britain School District,2011-12,879,33.3,38.8,27.9
090,New Canaan School District,2011-12,271,8.9,46.9,44.3
091,New Fairfield School District,2011-12,172,16.3,47.7,36
092,New Hartford School District,2011-12,76,14.5,60.5,25
093,New Haven School District,2011-12,1802,31.1,46.1,22.8
095,New London School District,2011-12,153,40.5,45.1,14.4
096,New Milford School District,2011-12,310,14.2,40.3,45.5
094,Newington School District,2011-12,300,14.3,51,34.7
097,Newtown School District,2011-12,272,2.9,30.9,66.2
098,Norfolk School District,2011-12,20,20,60,20
099,North Branford School District,2011-12,143,14,23.8,62.2
100,North Canaan School District,2011-12,28,7.1,46.4,46.4
101,North Haven School District,2011-12,207,16.9,41.5,41.5
102,North Stonington School District,2011-12,45,0,11.1,88.9
103,Norwalk School District,2011-12,948,24.1,42.4,33.5
104,Norwich School District,2011-12,367,27.8,53.7,18.5
106,Old Saybrook School District,2011-12,82,12.2,28,59.8
107,Orange School District,2011-12,146,4.1,23.3,72.6
108,Oxford School District,2011-12,132,3.8,12.1,84.1
110,Plainville School District,2011-12,157,23.6,43.9,32.5
111,Plymouth School District,2011-12,104,11.5,46.2,42.3
112,Pomfret School District,2011-12,30,20,40,40
113,Portland School District,2011-12,81,18.5,67.9,13.6
114,Preston School District,2011-12,37,18.9,62.2,18.9
116,Putnam School District,2011-12,92,21.7,35.9,42.4
117,Redding School District,2011-12,84,14.3,50,35.7
206,Regional School District 06,2011-12,34,0,38.2,61.8
210,Regional School District 10,2011-12,154,8.4,29.2,62.3
212,Regional School District 12,2011-12,51,13.7,31.4,54.9
213,Regional School District 13,2011-12,101,11.9,46.5,41.6
214,Regional School District 14,2011-12,101,11.9,33.7,54.5
215,Regional School District 15,2011-12,250,9.2,50.4,40.4
216,Regional School District 16,2011-12,179,8.4,67,24.6
217,Regional School District 17,2011-12,165,7.9,44.2,47.9
218,Regional School District 18,2011-12,83,6,31.3,62.7
118,Ridgefield School District,2011-12,270,3,20,77
119,Rocky Hill School District,2011-12,149,6,32.9,61.1
121,Salem School District,2011-12,37,8.1,13.5,78.4
122,Salisbury School District,2011-12,34,23.5,14.7,61.8
123,Scotland School District,2011-12,20,20,45,35
124,Seymour School District,2011-12,134,11.9,40.3,47.8
125,Sharon School District,2011-12,16,37.5,18.8,43.8
126,Shelton School District,2011-12,329,16.7,35.9,47.4
127,Sherman School District,2011-12,40,10,12.5,77.5
270,Side By Side Charter School District,2011-12,20,0,40,60
128,Simsbury School District,2011-12,225,3.6,26.7,69.8
129,Somers School District,2011-12,100,3,27,70
132,South Windsor School District,2011-12,217,8.8,33.2,58.1
131,Southington School District,2011-12,416,11.1,61.3,27.6
133,Sprague School District,2011-12,34,17.6,26.5,55.9
134,Stafford School District,2011-12,130,5.4,32.3,62.3
135,Stamford School District,2011-12,1393,21.2,40.8,38
136,Sterling School District,2011-12,37,29.7,54.1,16.2
137,Stonington School District,2011-12,150,18,26,56
138,Stratford School District,2011-12,532,17.3,35.7,47
139,Suffield School District,2011-12,138,3.6,39.9,56.5
140,Thomaston School District,2011-12,68,11.8,32.4,55.9
141,Thompson School District,2011-12,76,10.5,50,39.5
142,Tolland School District,2011-12,168,11.9,52.4,35.7
143,Torrington School District,2011-12,361,29.6,34.1,36.3
144,Trumbull School District,2011-12,415,11.3,33,55.7
146,Vernon School District,2011-12,285,23.2,40,36.8
147,Voluntown School District,2011-12,34,5.9,32.4,61.8
148,Wallingford School District,2011-12,357,14,36.1,49.9
151,Waterbury School District,2011-12,1594,30.7,46.5,22.8
152,Waterford School District,2011-12,113,15,69,15.9
153,Watertown School District,2011-12,198,4.5,25.3,70.2
155,West Hartford School District,2011-12,699,15.5,43.5,41.1
156,West Haven School District,2011-12,493,39.4,40.6,20.1
154,Westbrook School District,2011-12,53,15.1,30.2,54.7
157,Weston School District,2011-12,161,10.6,48.4,41
158,Westport School District,2011-12,354,11.9,44.6,43.5
159,Wethersfield School District,2011-12,207,12.1,61.8,26.1
160,Willington School District,2011-12,47,6.4,36.2,57.4
161,Wilton School District,2011-12,272,2.6,8.5,89
162,Winchester School District,2011-12,82,30.5,67.1,2.4
163,Windham School District,2011-12,276,37.3,39.9,22.8
165,Windsor Locks School District,2011-12,107,21.5,49.5,29
164,Windsor School District,2011-12,201,26.4,45.8,27.9
166,Wolcott School District,2011-12,133,15.8,36.8,47.4
167,Woodbridge School District,2011-12,94,30.9,53.2,16
169,Woodstock School District,2011-12,73,8.2,21.9,69.9
